account',recession'
accrue',refund'
affordable,reimburs'
atm,rent*
atms,retail'
auction',revenue'
audit,rich
audited,richer
auditing,riches
auditor,richest
auditors,ruble'
audits,rupee'
bank',salar•
bargain',sale
beggar*,sales
begging,saving*
bet,scholarship'
bets,sell
betting,seller
bill,selling
billed,sells
billing',shareholder'
bills,shilling'
bitcoin,shop
bonus',shopaholic'
borrow',shoo'
bought,shops
broker',sold
buck,spend
bucks,spender
budget',spending
business',spends
buy',spent
cash,stipend'
cashed,stocks
cashes,store
cashing,stores
casino',sugardadd•
cent,sugarmam'
cents,sugarmom'
charit•,tax
cheap,taxa'
cheapen',taxed
cheaper,taxes
cheapest,taxing
checkbook',thrift
chegu•,thriftier
coin,thriftiest
coins,thrifty
compensat•,trade'
consumer',trading
cost,transact
costed,treasur'
costing,tuition'
costly,underpaid
costs,usd
coupon',venmo'
credit',visa'
currenc',wage
customer',wager
debit',wagered
debt',wagering
deposit',wagers
dime,wages
dimes,wealth
dinar',wealthier
dinero,wealthiest
discount',wealthy
dividend',worth
dollar',yen
donate,vuan
donated,
donates,
donating,
donation',
dues,
earned,
earnings,
econ*,
embezzl•,
eauities,
equity,
euro,
euros,
exchang',
expense,
expenses,
expensive,
fee,
fees,
financ•,
fortune',
franc,
franchis•,
francs,
free,
fund,
funded,
funding,
funds,
qambr,
qbp,
greed',
income',
inexpensive,
inherit,
insurance,
invest',
ins,
ackpot,
kopek*,
kron•,
lease',
leasing',
lend,
lender',
lending,
lends,
lira,
loan',
otter*,
market',
mastercard',
merchant',
money',
"monorpol""",
mortg•,
nickel',
overpaid,
overtime,
owe,
owed,
owes,
owing,
Paid,
pay',
pence,
pennies,
penny,
pension*,
peso,
pesos,
DOOr,
Poorer,
poorest,
poorhouse',
poorly,
poorness',
portfolio',
poverty,
price*,
ono*,
Profit*,
purchas•,
rebate',
