abrupt',mon
after,monday•
aftermath',month'
afternoon',morning'
afterthought',never
afterward',new
aaain,newer
aae,newest
aged,newly
ages,next
aging,night
ago,nightly
ahead,nights
already,noon'
always,november
ancient,now
anciently,o'clock'
anniversar•,occasion
annual',occasional'
anymore,occasions
anytime,oclock'
april,october
august,often
autumn,old
awhile,olden
back,older
bedtime,oldest
before,once
began,originally
begin,past
beginner,period'
beginning',permanent
begins,perpetual'
begun,oreced*
biannu',premier*
bimonth',present
birth',presently
biweek*,previous'
born,prior
brief,proceed'
briefly,procrastin•
busy,quick
bye,Quicken'
cease',Quicker
ceasing,quickest
centur•,quickly
childhood,rarely
christmas',receiv•
chronic',recency
clock',recent'
constant,recur'
constantly,regularly
continually,repeat'
continue,repetit'
continued,respectively
continues,return'
current',rhythm'
cycle',sat
daily,saturday*
date,schedul•
dated,season'
dates,seconds
dating,seldom
day',seldomly
decade',semester*
decay,senior'
december,september*
delay',sequen*
due,simultaneous*
during,since
earlier,slow
earliest,slowed
early,slower
elapse',slowest
end,slowing
ended,slowly
ending,slows
ends,sometime
era,sometimes
eras,soon
etern',sooner
eve,soonest
evening',sped
event,speed'
eventually,spring
ever,start
everyday,started
everytime,starter'
fade',starting
fading',starts
fast,startup'
faster,still
fastest,stop
february,stopped
final,stopping
finale,stops
finally,subsequent
finish,subsequently
finishes,successive
finishing,sudden
first,suddenly
firstly,summer'
firsts,sun
followup',sunday'
forever,sunrise'
former,sunset'
formerly,synch'
forward,tempora'
forwarded,term
forwarding,terminal'
forwards,then
frequent,thurs
frequented,thursday'
frequenting,til
frequently,till
frequents,time'
fri,timing
friday',today'
futur',tomorrow'
generation',tonight'
happening,tues
histor',tuesday'
hour',until
hurrie',updat'
hurry',usual
immediate,usually
immediately,wait
immediateness,waited
immortal',waiting
inciden',waits
infinit',wed
infrequent,wednesday'
initial',week
initial',week-
instan•,weekend'
interval',weekr
irregularly,weeks
january,when
july,"when"""
June,whence
last',whenever
late,while
lately,whilst
later,winter'
latest,year
lifetime',yearly
longevity,years
meantime,yester'
meanwhile,yet
min,young
minute',younger
modern,voungest
modernity,youngster'
modernly,youth'
moment',
